Latitude,Longitude
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
52.1591995,4.802801
52.15909,4.802315
52.158597,4.8005865
52.1583,4.7995605
52.1581505,4.799085
52.1576335,4.7972295
52.156984,4.7949935
52.156633,4.793803
52.1563275,4.792844
52.156167,4.792384
52.155775,4.7910465
52.155232,4.789656
52.1550755,4.7893275
52.154802,4.788431
52.1544285,4.7873095
52.154169,4.786511
52.153895,4.785908
52.153713,4.785603
52.1533305,4.7847945
52.152469,4.783067
52.151969,4.7822315
52.1515605,4.781681
52.151425,4.78145
52.150885,4.7808115
52.150095,4.780001
52.149642,4.779508
52.149279,4.7788395
52.148752,4.777835
52.1483275,4.777177
52.1476475,4.776444
52.147245,4.7760215
52.1460515,4.774788
52.1447255,4.773378
52.1437345,4.7722945
52.143103,4.7716685
52.1425945,4.771356
52.14234,4.7712025
52.141717,4.770756
52.140682,4.7700185
52.139323,4.7689785
52.138223,4.7679445
52.137095,4.766666
52.136467,4.7660135
52.1359565,4.7656865
52.135483,4.7651035
52.135067,4.764687
52.1341975,4.763873
52.1334325,4.763305
52.132848,4.7626345
52.13242,4.7619065
52.1329695,4.7617295
52.133452,4.761603
52.1337435,4.7609905
52.134243,4.7603565
52.134738,4.7594475
52.135364,4.758755
52.1360015,4.757969
52.1367735,4.7573605
52.1381055,4.756823
52.139196,4.756378
52.14008,4.756036
52.140982,4.755523
52.142288,4.7547
52.1434775,4.7539555
52.144976,4.753023
52.1462315,4.752228
52.147702,4.751318
52.1489945,4.750511
52.1501285,4.7497995
52.1511335,4.7491785
52.1524275,4.748366
52.153639,4.747614
52.1550735,4.746711
52.156254,4.7459755
52.1576845,4.7450865
52.15919,4.7441495
52.1606355,4.7432505
52.161954,4.7424255
52.163254,4.741615
52.1641025,4.741085
52.1648465,4.7403635
52.165404,4.7396585
52.165857,4.738279
52.1664765,4.7370915
52.166995,4.736192
52.167347,4.7348725
52.167783,4.733787
52.167875,4.733646
52.167885,4.73285
52.1677875,4.732262
52.16754,4.731255
52.1673325,4.7302785
52.1671365,4.729088
52.166787,4.726957
52.1665165,4.7253345
52.166469,4.7249395
52.1663185,4.723441
52.1662545,4.7228075
52.166168,4.722274
52.1660695,4.721257
52.165973,4.7192395
52.1658535,4.717128
52.16576,4.7161575
52.1657765,4.7155905
52.165765,4.714101
52.1657825,4.7135395
52.165739,4.7129525
52.1657645,4.712022
52.166045,4.710193
52.1661025,4.709113
52.1666035,4.7081705
52.1670735,4.707199
52.1673085,4.70645
52.1677455,4.7056455
52.167958,4.705227
52.168089,4.704964
52.168433,4.704345
52.1686555,4.703963
52.1694835,4.7024965
52.1699135,4.7015155
52.170034,4.701046
52.1704535,4.7003775
52.1707505,4.699948
52.1708915,4.6997995
52.1709955,4.699635
52.1713015,4.699111
52.171684,4.6982265
52.1717675,4.697788
52.1718965,4.697308
52.1721035,4.6969345
52.1725065,4.6963115
52.173097,4.6953415
52.173564,4.6945635
52.173739,4.694201
